Feature_id,Cell_Compartment,Feature,Zprime_without_correction,Zprime_after_correction,Grouping
1,Cell,TotEdge,-0.708330301153859,-0.664245487431786,column-wise
2,Cell,Tot,-0.569104789129619,-0.376372674150906,column-wise
3,Cell,LoQuar,-2.37656656302265,-2.38288259000052,column-wise
4,Cell,MassDisp,-0.78842813441084,-0.751895947500886,column-wise
5,Cell,MaxEdge,0.101969408932572,0.106851689940466,column-wise
6,Cell,Max,0.0791845010162708,0.084347637113766,column-wise
7,Cell,MeanEdge,-0.477096178618876,-0.454619406322921,column-wise
8,Cell,Mean,0.0910463003020099,0.103976202026104,column-wise
9,Cell,Median,-0.0944866668535336,-0.0605091564449638,column-wise
10,Cell,MinEdge,-5.03022780554415,-5.02341067948868,column-wise
11,Cell,Min,-5.4570241739369,-5.39812634119961,column-wise
12,Cell,StdEdge,0.189189917701685,0.200275928653642,column-wise
13,Cell,Std,0.145495901139989,0.160853623548268,column-wise
14,Cell,UpQuar,0.0903157216236116,0.123054991509634,column-wise
15,Cytoplasm,TotEdge,-0.137967233275944,-0.0646419287633333,column-wise
16,Cytoplasm,Tot,-4.17882811212817,-3.84469122463174,column-wise
17,Cytoplasm,LoQuar,-10.523390044425,-10.5808868719334,column-wise
18,Cytoplasm,MassDisp,-0.386916428204146,-0.371341132496333,column-wise
19,Cytoplasm,MaxEdge,0.0919410177739975,0.0846142822224216,column-wise
20,Cytoplasm,Max,0.0479814178910711,0.0737821264206852,column-wise
21,Cytoplasm,MeanEdge,0.0566211948025676,0.0741125146348208,column-wise
22,Cytoplasm,Mean,0.00603820809325217,0.0111358631152655,column-wise
23,Cytoplasm,Median,-0.629427114360537,-0.565935448694932,column-wise
24,Cytoplasm,MinEdge,-4.95504811376311,-5.06755225030513,column-wise
25,Cytoplasm,Min,-5.45898478363399,-5.57305272688234,column-wise
26,Cytoplasm,StdEdge,0.139086754884832,0.133566240523547,column-wise
27,Cytoplasm,Std,0.13379312377079,0.115843543657476,column-wise
28,Cytoplasm,UpQuar,0.00509944255638839,0.0383287105076067,column-wise
29,Nucleus,TotEdge,0.0602811367643979,0.0772750244911685,column-wise
30,Nucleus,Tot,-0.0407008587540656,0.042772682549759,column-wise
31,Nucleus,LoQuar,0.022458574450561,0.00823938614454267,column-wise
32,Nucleus,MassDisp,-0.645661157437841,-0.548359493754829,column-wise
33,Nucleus,MaxEdge,0.0877696513001101,0.0747385233280571,column-wise
34,Nucleus,Max,0.0871224070343569,0.086445618434556,column-wise
35,Nucleus,MeanEdge,0.0382230322333266,0.0673978033447905,column-wise
36,Nucleus,Mean,0.0921207982987633,0.0945755243939325,column-wise
37,Nucleus,Median,0.0579473113185671,0.0751685372232634,column-wise
38,Nucleus,MinEdge,-0.857485271058352,-0.815496817221103,column-wise
39,Nucleus,Min,-0.721104048783105,-0.653992441954225,column-wise
40,Nucleus,StdEdge,0.0380780041047898,0.0427927568593656,column-wise
41,Nucleus,Std,0.0509206338520404,0.0403715440602609,column-wise
42,Nucleus,UpQuar,0.105605509300831,0.105896255909173,column-wise
1,Cell,TotEdge,-0.708330301153859,-0.598260329641351,plate-wise
2,Cell,Tot,-0.569104789129619,-0.395788633346342,plate-wise
3,Cell,LoQuar,-2.37656656302265,-2.25230662603751,plate-wise
4,Cell,MassDisp,-0.78842813441084,-0.67052260339127,plate-wise
5,Cell,MaxEdge,0.101969408932572,0.163684016352128,plate-wise
6,Cell,Max,0.0791845010162708,0.102599113036801,plate-wise
7,Cell,MeanEdge,-0.477096178618876,-0.401571979251871,plate-wise
8,Cell,Mean,0.0910463003020099,0.114913274381731,plate-wise
9,Cell,Median,-0.0944866668535336,-0.0265865734867803,plate-wise
10,Cell,MinEdge,-5.03022780554415,-4.85757273089612,plate-wise
11,Cell,Min,-5.4570241739369,-5.47550675451815,plate-wise
12,Cell,StdEdge,0.189189917701685,0.233879017245244,plate-wise
13,Cell,Std,0.145495901139989,0.153079422822311,plate-wise
14,Cell,UpQuar,0.0903157216236116,0.128234238432795,plate-wise
15,Cytoplasm,TotEdge,-0.137967233275944,-0.0503878307632453,plate-wise
16,Cytoplasm,Tot,-4.17882811212817,-3.82536027965525,plate-wise
17,Cytoplasm,LoQuar,-10.523390044425,-10.6391766579347,plate-wise
18,Cytoplasm,MassDisp,-0.386916428204146,-0.342435685855554,plate-wise
19,Cytoplasm,MaxEdge,0.0919410177739975,0.0931955450507167,plate-wise
20,Cytoplasm,Max,0.0479814178910711,0.0756211395427726,plate-wise
21,Cytoplasm,MeanEdge,0.0566211948025676,0.0861746778007612,plate-wise
22,Cytoplasm,Mean,0.00603820809325217,0.0287178421782335,plate-wise
23,Cytoplasm,Median,-0.629427114360537,-0.506372482613333,plate-wise
24,Cytoplasm,MinEdge,-4.95504811376311,-4.87157153244664,plate-wise
25,Cytoplasm,Min,-5.45898478363399,-5.38053751119973,plate-wise
26,Cytoplasm,StdEdge,0.139086754884832,0.1273187194657,plate-wise
27,Cytoplasm,Std,0.13379312377079,0.135287596459212,plate-wise
28,Cytoplasm,UpQuar,0.00509944255638839,0.0537062061089596,plate-wise
29,Nucleus,TotEdge,0.0602811367643979,0.089081773341533,plate-wise
30,Nucleus,Tot,-0.0407008587540656,0.0415270442420913,plate-wise
31,Nucleus,LoQuar,0.022458574450561,0.0251484702417384,plate-wise
32,Nucleus,MassDisp,-0.645661157437841,-0.493618362117296,plate-wise
33,Nucleus,MaxEdge,0.0877696513001101,0.0918606434534537,plate-wise
34,Nucleus,Max,0.0871224070343569,0.105497813863932,plate-wise
35,Nucleus,MeanEdge,0.0382230322333266,0.0669155902345163,plate-wise
36,Nucleus,Mean,0.0921207982987633,0.107271780595627,plate-wise
37,Nucleus,Median,0.0579473113185671,0.0759398714362575,plate-wise
38,Nucleus,MinEdge,-0.857485271058352,-0.785492592346854,plate-wise
39,Nucleus,Min,-0.721104048783105,-0.65937400616636,plate-wise
40,Nucleus,StdEdge,0.0380780041047898,0.0537756851337725,plate-wise
41,Nucleus,Std,0.0509206338520404,0.052637906921929,plate-wise
42,Nucleus,UpQuar,0.105605509300831,0.118014736993378,plate-wise
1,Cell,TotEdge,-0.708330301153859,-0.650902181268811,row-wise
2,Cell,Tot,-0.569104789129619,-0.414199256889196,row-wise
3,Cell,LoQuar,-2.37656656302265,-2.35881279191456,row-wise
4,Cell,MassDisp,-0.78842813441084,-0.721310732890845,row-wise
5,Cell,MaxEdge,0.101969408932572,0.1601266288375,row-wise
6,Cell,Max,0.0791845010162708,0.0797730209824673,row-wise
7,Cell,MeanEdge,-0.477096178618876,-0.457848128152374,row-wise
8,Cell,Mean,0.0910463003020099,0.113460831583883,row-wise
9,Cell,Median,-0.0944866668535336,-0.0498999349746334,row-wise
10,Cell,MinEdge,-5.03022780554415,-5.2656343197892,row-wise
11,Cell,Min,-5.4570241739369,-5.50581799939423,row-wise
12,Cell,StdEdge,0.189189917701685,0.232244678241915,row-wise
13,Cell,Std,0.145495901139989,0.16377474015644,row-wise
14,Cell,UpQuar,0.0903157216236116,0.116227424636056,row-wise
15,Cytoplasm,TotEdge,-0.137967233275944,-0.0909527382753206,row-wise
16,Cytoplasm,Tot,-4.17882811212817,-3.9267799950536,row-wise
17,Cytoplasm,LoQuar,-10.523390044425,-10.7524351689014,row-wise
18,Cytoplasm,MassDisp,-0.386916428204146,-0.35194182742579,row-wise
19,Cytoplasm,MaxEdge,0.0919410177739975,0.0716214790551166,row-wise
20,Cytoplasm,Max,0.0479814178910711,0.0588921967464763,row-wise
21,Cytoplasm,MeanEdge,0.0566211948025676,0.0868884410754404,row-wise
22,Cytoplasm,Mean,0.00603820809325217,0.0217021383361732,row-wise
23,Cytoplasm,Median,-0.629427114360537,-0.576962593513192,row-wise
24,Cytoplasm,MinEdge,-4.95504811376311,-5.17633042981671,row-wise
25,Cytoplasm,Min,-5.45898478363399,-5.77365155729988,row-wise
26,Cytoplasm,StdEdge,0.139086754884832,0.125839934859594,row-wise
27,Cytoplasm,Std,0.13379312377079,0.10970142285354,row-wise
28,Cytoplasm,UpQuar,0.00509944255638839,0.0236223105488886,row-wise
29,Nucleus,TotEdge,0.0602811367643979,0.0972451420312976,row-wise
30,Nucleus,Tot,-0.0407008587540656,0.0578525299772712,row-wise
31,Nucleus,LoQuar,0.022458574450561,0.0221121393588393,row-wise
32,Nucleus,MassDisp,-0.645661157437841,-0.50252460692573,row-wise
33,Nucleus,MaxEdge,0.0877696513001101,0.057929664570961,row-wise
34,Nucleus,Max,0.0871224070343569,0.0890998053951015,row-wise
35,Nucleus,MeanEdge,0.0382230322333266,0.0526829531991097,row-wise
36,Nucleus,Mean,0.0921207982987633,0.116615452667967,row-wise
37,Nucleus,Median,0.0579473113185671,0.0787326890319535,row-wise
38,Nucleus,MinEdge,-0.857485271058352,-0.78786653554196,row-wise
39,Nucleus,Min,-0.721104048783105,-0.671857303798913,row-wise
40,Nucleus,StdEdge,0.0380780041047898,0.0356771849726518,row-wise
41,Nucleus,Std,0.0509206338520404,0.0617753947692687,row-wise
42,Nucleus,UpQuar,0.105605509300831,0.111819283879086,row-wise
1,Cell,TotEdge,-0.708330301153859,-0.652301063527504,site-wise
2,Cell,Tot,-0.569104789129619,-0.467769807732266,site-wise
3,Cell,LoQuar,-2.37656656302265,-2.34771225381049,site-wise
4,Cell,MassDisp,-0.78842813441084,-0.751139243975037,site-wise
5,Cell,MaxEdge,0.101969408932572,0.131748055450684,site-wise
6,Cell,Max,0.0791845010162708,0.0958879205049774,site-wise
7,Cell,MeanEdge,-0.477096178618876,-0.478052891175311,site-wise
8,Cell,Mean,0.0910463003020099,0.107535454372289,site-wise
9,Cell,Median,-0.0944866668535336,-0.0339618164889435,site-wise
10,Cell,MinEdge,-5.03022780554415,-5.20748423518273,site-wise
11,Cell,Min,-5.4570241739369,-5.60226102972517,site-wise
12,Cell,StdEdge,0.189189917701685,0.203948633646752,site-wise
13,Cell,Std,0.145495901139989,0.147219661123212,site-wise
14,Cell,UpQuar,0.0903157216236116,0.12334978430749,site-wise
15,Cytoplasm,TotEdge,-0.137967233275944,-0.101760640886047,site-wise
16,Cytoplasm,Tot,-4.17882811212817,-3.95473808281329,site-wise
17,Cytoplasm,LoQuar,-10.523390044425,-10.417986450236,site-wise
18,Cytoplasm,MassDisp,-0.386916428204146,-0.364818035677586,site-wise
19,Cytoplasm,MaxEdge,0.0919410177739975,0.0821190435161443,site-wise
20,Cytoplasm,Max,0.0479814178910711,0.0433536796147337,site-wise
21,Cytoplasm,MeanEdge,0.0566211948025676,0.0602454895443874,site-wise
22,Cytoplasm,Mean,0.00603820809325217,0.00667356230482896,site-wise
23,Cytoplasm,Median,-0.629427114360537,-0.551451827798018,site-wise
24,Cytoplasm,MinEdge,-4.95504811376311,-5.13824482768349,site-wise
25,Cytoplasm,Min,-5.45898478363399,-5.77410607707,site-wise
26,Cytoplasm,StdEdge,0.139086754884832,0.142662023959949,site-wise
27,Cytoplasm,Std,0.13379312377079,0.110733809771962,site-wise
28,Cytoplasm,UpQuar,0.00509944255638839,0.0180725664944947,site-wise
29,Nucleus,TotEdge,0.0602811367643979,0.0823296726834964,site-wise
30,Nucleus,Tot,-0.0407008587540656,0.0474375742319892,site-wise
31,Nucleus,LoQuar,0.022458574450561,0.0188880816306141,site-wise
32,Nucleus,MassDisp,-0.645661157437841,-0.543938327051205,site-wise
33,Nucleus,MaxEdge,0.0877696513001101,0.0690218682792837,site-wise
34,Nucleus,Max,0.0871224070343569,0.0974838268741844,site-wise
35,Nucleus,MeanEdge,0.0382230322333266,0.0714559446830616,site-wise
36,Nucleus,Mean,0.0921207982987633,0.115867264399355,site-wise
37,Nucleus,Median,0.0579473113185671,0.0712321872883628,site-wise
38,Nucleus,MinEdge,-0.857485271058352,-0.80241088978555,site-wise
39,Nucleus,Min,-0.721104048783105,-0.653830500185192,site-wise
40,Nucleus,StdEdge,0.0380780041047898,0.0275035661189075,site-wise
41,Nucleus,Std,0.0509206338520404,0.0515560014541029,site-wise
42,Nucleus,UpQuar,0.105605509300831,0.100701123895242,site-wise
